Evaluators,,,,,,,
,,,,,,,
Kategorie,,Was tut es ?,Name,Prompt,Categories,Score reasoning prompt,Category selection prompt
,,"Bewertet, ob die Eröffnung als spielbarer Einstieg funktioniert. Achtet auf Narrator-geführte Einführung, klare Rollenverankerung, Ort, Prämisse, sozialen Druck und fehlende Debug-/Fallback-Artefakte.",opening_experience_judge,"You are evaluating the player-facing opening experience of an interactive dramatic scene in World of Shadows.

Evaluate only the generated opening text and its player-facing quality. Do not evaluate backend implementation quality. Do not reward technical metadata by itself. A technically healthy trace can still have a weak or invalid opening.

Generation input:
{{input}}

Generation output:
{{output}}

Observation metadata:
{{metadata}}

Your task:
Judge whether the generated output works as a proper opening introduction for the selected player role.

Pay attention to:
- whether the opening begins with narrator-led introduction before actor dialogue/action
- whether the selected player role is clearly anchored
- whether the scene premise, place, social pressure, and stakes are understandable
- whether the prose feels theatrical, concrete, and playable rather than generic filler
- whether the narrator stages the scene through details, pressure, gesture, and subtext
- whether diagnostics/debug/fallback-like text appears in the player-facing opening
- whether actor dialogue/action starts too early
- whether the output feels like the beginning of a scene rather than a response in the middle of the scene

Rubric:

excellent:
The opening begins with a literary narrator-led introduction, clearly anchors the selected player role, establishes place, social pressure, dramatic premise, and stakes before actor dialogue/action begins. It feels playable, theatrical, concrete, and intentionally staged.

acceptable:
The opening is understandable and role-aware. It provides orientation, scene setup, and a usable player entry point, but may be stylistically plain, compressed, or slightly mechanical.

weak:
The opening has some atmosphere or partial setup, but the player role, premise, place, pressure, or stakes are unclear. It may feel abrupt, generic, too short, or insufficiently staged.

invalid:
The opening starts directly with actor dialogue/action, lacks a clear role anchor, lacks scene setup, uses fallback-like generic text, shows diagnostics/debug text, or does not function as an introduction.","[excellent, acceptable, weak, invalid]","Explain briefly why this category best matches the player-facing opening. Mention the main strength or failure: role anchor, premise, staging, theatrical quality, fallback-like text, diagnostics, or actor dialogue before introduction.","Choose exactly one category: excellent, acceptable, weak, or invalid. Select invalid if the opening does not function as a player-facing introduction."
,,"Bewertet, ob blockierte, unklare oder nur teilweise mögliche Aktionen spielbar beantwortet werden. Prüft, ob der Spieler eine verständliche, in-world Erklärung oder Rückfrage erhält statt eines technischen Fehlers.",blocked_action_playability_judge,"You are evaluating whether a blocked, ambiguous, or unresolved player action is handled in a playable way.

This is a qualitative review signal only. Do not replace deterministic affordance or safety gates.

Generation input:
{{input}}

Generation output:
{{output}}

Observation metadata:
{{metadata}}

Your task:
Judge whether the system gives the player a clear, in-world, playable response when an action cannot be completed, needs clarification, or is only partially possible.

Pay attention to:
- whether the response avoids raw technical errors
- whether the player understands why the action cannot proceed
- whether the message remains diegetic and playable
- whether the response asks a useful clarification when the target is ambiguous
- whether blocked movement/action is explained through scene context
- whether the output preserves the selected player role
- whether the player can reasonably decide what to do next

Rubric:

playable_block:
The blocked or limited action is explained clearly and diegetically. The player understands the constraint and can continue playing.

acceptable_clarification:
The response asks a useful clarification or gives a mostly playable limitation, though it may be a bit plain or mechanical.

unclear_block:
The action is blocked or unclear, but the explanation is vague, awkward, not very playable, or does not help the player continue.

technical_failure:
The output exposes technical failure, generic error text, stack-trace-like content, or gives no playable response.","[playable_block, acceptable_clarification, unclear_block, technical_failure]",Explain briefly why this category best matches the blocked/clarification handling. Mention whether the player receives a playable explanation or useful next-step clarification.,"Choose exactly one category: playable_block, acceptable_clarification, unclear_block, or technical_failure. Select technical_failure when the output exposes backend/runtime failure or gives no playable blocked-action response."
,,"Bewertet, ob NPCs passend auf Spielerhandlung, Sprache oder Situation reagieren. Achtet darauf, dass NPCs sozial/dramatisch reagieren, aber nicht Narrator-Aufgaben oder Spielerhandlungen übernehmen.",npc_reaction_appropriateness_judge,"You are evaluating whether NPC reactions to the player’s action are appropriate and playable.

This is a qualitative review signal only. Do not replace deterministic actor-lane or action-resolution gates.

Generation input:
{{input}}

Generation output:
{{output}}

Observation metadata:
{{metadata}}

Your task:
Judge whether NPCs react naturally to the player’s latest action, speech, perception, or movement without taking over the narrator’s role or the player’s agency.

Pay attention to:
- whether NPC reaction is socially or dramatically appropriate
- whether NPCs unnecessarily comment on every small player movement
- whether an NPC explains spatial/perceptual consequences that should belong to the narrator
- whether NPCs paraphrase the player’s action instead of reacting
- whether NPC dialogue advances social tension or playability
- whether NPCs take over or block the player action without reason
- whether silence or a narrator-only consequence would have been more appropriate

Rubric:

appropriate_reaction:
The NPC reaction is natural, socially grounded, and helps the scene without taking over narration or player agency.

minor_overreaction:
The NPC response is mostly acceptable but slightly too explanatory, too immediate, or too reactive for the action.

unnecessary_commentary:
The NPC comments on, explains, or paraphrases the player action when a narrator consequence or silence would be better.

npc_takes_over:
The NPC takes over the player action, narrates the world instead of the narrator, blocks the action without basis, or makes the turn feel controlled by the NPC.","[appropriate_reaction, minor_overreaction, unnecessary_commentary, npc_takes_over]","Explain briefly why this category best matches the NPC reaction. Mention whether the NPC response is socially appropriate, unnecessary commentary, or a takeover of narrator/player responsibility.","Choose exactly one category: appropriate_reaction, minor_overreaction, unnecessary_commentary, or npc_takes_over. Select npc_takes_over when the NPC controls, explains, or overrides the player action in a way that breaks playability."
,,"Bewertet, ob die angenommene Handlungsmöglichkeit zur Szene und zu den etablierten Objekten/Orten passt. Hilft zu erkennen, ob die Runtime plausible Affordances nutzt oder unpassende Dinge erfindet.",affordance_plausibility_judge,"You are evaluating whether the resolved action target and affordance are plausible for the current scene.

This is a qualitative review signal only. Do not replace deterministic affordance resolution or safety rules.

Generation input:
{{input}}

Generation output:
{{output}}

Observation metadata:
{{metadata}}

Your task:
Judge whether the action resolution makes sense in the implied scene and module context.

Pay attention to:
- whether resolved locations, objects, or actors fit the current scene
- whether inferred spaces such as bathroom, hallway, kitchen, window, table, or door are plausible in the setting
- whether the action target is unsupported, too convenient, or invented in a disruptive way
- whether movement to offscreen/inferred areas is handled plausibly
- whether blocked or ambiguous targets are treated reasonably
- whether the resolution contradicts known scene facts
- whether the result preserves dramatic continuity

Rubric:

plausible:
The resolved target and action affordance fit the scene naturally and do not strain continuity.

acceptable_inference:
The resolution is not explicitly established but is a reasonable inference from the scene context.

questionable:
The target or affordance may be possible, but it feels under-supported, too convenient, or weakly justified.

implausible:
The resolution contradicts the scene, invents an unsupported location/object, ignores obvious constraints, or breaks continuity.","[plausible, acceptable_inference, questionable, implausible]","Explain briefly why this category best matches affordance plausibility. Mention the action target, whether it fits the scene, and whether the inference is justified or disruptive.","Choose exactly one category: plausible, acceptable_inference, questionable, or implausible. Select implausible when the resolved target or affordance clearly contradicts or breaks the scene context."
,,"Bewertet, ob der Turn den God-of-Carnage-artigen Ton trifft. Achtet auf höfliche Oberfläche, Subtext, soziale Peinlichkeit, Eskalation und vermeidet generische Mediation oder Genre-Drift.",goc_tone_fidelity_judge,"You are evaluating whether the output fits the intended God of Carnage-style social drama tone in World of Shadows.

This is a qualitative tone signal only. Do not replace deterministic runtime gates.

Generation input:
{{input}}

Generation output:
{{output}}

Observation metadata:
{{metadata}}

Your task:
Judge whether the visible output fits a tense bourgeois social scene inspired by God of Carnage, without becoming generic conflict-resolution prose.

Pay attention to:
- civilized politeness covering aggression
- social pressure beneath manners
- subtle accusation, discomfort, status tension
- concrete room details rather than generic moral summary
- whether characters behave like socially constrained adults
- whether the text avoids fantasy/game-master tone
- whether the output avoids generic “solve the conflict” language

Rubric:

strong_fidelity:
The output strongly fits the intended social-drama tone: polite surface, pressure underneath, specific staging, and restrained conflict.

acceptable_fidelity:
The output mostly fits the tone, though it may be somewhat plain or lightly generic.

generic_tone:
The output is understandable but sounds like generic conflict resolution, generic drama, or neutral improv.

wrong_tone:
The output does not fit the intended tone. It feels like fantasy, game-master narration, therapy-speak, action-adventure, debug text, or another genre.","[strong_fidelity, acceptable_fidelity, generic_tone, wrong_tone]","Explain briefly why this category best matches GoC tone fidelity. Mention whether the output has bourgeois politeness, social pressure, and specific staging or instead feels generic/wrong-genre.","Choose exactly one category: strong_fidelity, acceptable_fidelity, generic_tone, or wrong_tone. Select wrong_tone when the output clearly belongs to the wrong genre or style."
,,"Bewertet den dramatischen Rhythmus eines Turns. Prüft, ob der Turn Druck, Reaktion oder Konsequenz erzeugt, ohne zu hetzen, zu stocken oder zu viel zu erklären.",dramatic_pacing_judge,"You are evaluating dramatic pacing in a World of Shadows turn.

This is a qualitative pacing signal only. Do not replace deterministic runtime gates.

Generation input:
{{input}}

Generation output:
{{output}}

Observation metadata:
{{metadata}}

Your task:
Judge whether the turn has a playable dramatic rhythm.

Pay attention to:
- whether the turn produces too many cards or too much explanation
- whether the response is too thin or mechanical
- whether every player action unnecessarily triggers NPC dialogue
- whether narrator and NPC beats are balanced
- whether the scene advances without rushing or stalling
- whether tension remains present but not over-explained
- whether the turn feels like live drama rather than a summary

Rubric:

strong_pacing:
The turn has clear rhythm, useful restraint, and dramatic pressure. It advances play without over-explaining.

acceptable_pacing:
The turn is playable and reasonably paced, though not especially elegant.

weak_pacing:
The turn is too thin, too explanatory, too repetitive, or slightly out of rhythm.

broken_pacing:
The turn feels mechanically broken, bloated, stalled, repetitive, or dramatically incoherent.","[strong_pacing, acceptable_pacing, weak_pacing, broken_pacing]","Explain briefly why this category best matches dramatic pacing. Mention whether the turn is too thin, too verbose, too repetitive, or well paced.","Choose exactly one category: strong_pacing, acceptable_pacing, weak_pacing, or broken_pacing. Select broken_pacing when the turn is visibly incoherent, stalled, or repetitive."
,,"Bewertet, ob die Sprache des Outputs konsistent zur erwarteten Spielsitzung bleibt. Erkennt Sprachwechsel, Mischsprache oder falsche Ausgabesprache.",language_consistency_judge,"You are evaluating language consistency in player-facing visible output.

This is a qualitative review signal only. Do not judge backend implementation quality.

Generation input:
{{input}}

Generation output:
{{output}}

Observation metadata:
{{metadata}}

Your task:
Judge whether the visible output follows the expected session language.

For German sessions:
- German visible prose is expected.
- Names such as Véronique, Alain, Annette, Michel are allowed.
- A brief foreign-language quote may be acceptable only if clearly intentional.
- English stage direction such as “gently nods” is not acceptable.
- French dialogue should not appear unless specifically justified by the scene.

Pay attention to:
- English narrator or stage-direction leaks
- French dialogue drift in a German session
- mixed German/English/French inside one card
- internal prompt language leaking into visible text
- whether the output language matches metadata if available

Rubric:

consistent:
The visible output consistently follows the expected session language. Names are allowed.

minor_drift:
There is a small foreign-language fragment or stylistic drift, but the output remains mostly in the expected language.

mixed_language:
The output noticeably mixes languages in a way that harms readability or immersion.

wrong_language:
The output is mostly in the wrong language or contains clear prompt/scaffold-language leakage.","[consistent, minor_drift, mixed_language, wrong_language]",Explain briefly why this category best matches language consistency. Mention the expected language and any visible drift or language leakage.,"Choose exactly one category: consistent, minor_drift, mixed_language, or wrong_language. Select wrong_language when the output is mostly not in the expected session language."
,,"Bewertet, ob der Output auf den aktuellen Spielerinput und die aktuelle Szene relevant reagiert. Erkennt ausweichende, generische oder thematisch falsche Antworten.",turn_relevance_judge,"You are evaluating whether the generated turn response is relevant to the player’s input.

This is a qualitative review signal only. Do not replace deterministic runtime gates.

Generation input:
{{input}}

Generation output:
{{output}}

Observation metadata:
{{metadata}}

Your task:
Judge whether the visible response follows meaningfully from the player’s latest input.

Pay attention to:
- whether a player question receives an actual answer or useful dramatic response
- whether a player action receives spatial/perceptual consequence or appropriate social reaction
- whether the response ignores the input
- whether the response merely paraphrases the input without advancing the scene
- whether the response over-explains instead of reacting
- whether the response stays in the current scene and role context

Rubric:

directly_relevant:
The response clearly and naturally addresses the player’s input and advances the scene.

broadly_relevant:
The response is related and mostly sensible, but may be generic, indirect, or slightly underdeveloped.

weakly_related:
The response has only a loose connection to the player input or mostly paraphrases it.

irrelevant_or_wrong:
The response ignores, contradicts, misattributes, or wrongly explains the player input.","[directly_relevant, broadly_relevant, weakly_relevant, irrelevant_or_wrong]","Explain briefly why this category best matches turn relevance. Mention whether the response answers, reacts to, or misinterprets the player input.","Choose exactly one category: directly_relevant, broadly_relevant, weakly_related, or irrelevant_or_wrong. Select irrelevant_or_wrong when the output ignores or misattributes the player input."
,,"Bewertet die Sauberkeit der sichtbaren Karten. Achtet auf doppelte Inhalte, Name-only Cards, Label-Stottern, technische Artefakte oder falsch zusammengeführte Action-/Speech-Texte.",visible_card_cleanliness_judge,"You are evaluating the cleanliness of player-facing visible story cards.

This is a qualitative UI/content review signal only. Do not judge backend implementation quality.

Generation input:
{{input}}

Generation output:
{{output}}

Observation metadata:
{{metadata}}

Your task:
Judge whether the visible card text is clean, readable, non-duplicative, and free from internal artifacts.

Pay attention to:
- name-only cards such as “Veronique”
- speaker stutter such as “Veronique: Veronique ...”
- duplicated action in adjacent cards
- actor_line and actor_action repeating the same content
- internal labels such as narrator_intro:, role_anchor:, scene_setup:
- placeholder phrases such as “reacts immediately”
- broken quote formatting
- repeated speaker labels inside one card
- unnecessary blue/action card duplication when the action is already folded into a story card

Rubric:

clean:
The visible cards are readable, well formatted, and free from obvious duplication or internal artifacts.

minor_artifacts:
There are small formatting issues, but they do not seriously harm playability.

messy:
The output has noticeable duplicated cards, label stutter, awkward formatting, or repeated action text.

broken_cards:
The card output is visibly broken, with name-only cards, repeated labels, debug/internal text, or severe duplication.","[clean, minor_artifacts, messy, broken_cards]","Explain briefly why this category best matches visible card cleanliness. Mention duplicated cards, name stutter, internal labels, or formatting artifacts if present.","Choose exactly one category: clean, minor_artifacts, messy, or broken_cards. Select broken_cards when visible card formatting seriously harms playability."
,,"Bewertet die Grenze zwischen Narrator- und NPC-Aufgaben. Prüft, ob der Narrator Raum, Wahrnehmung und Konsequenzen führt und NPCs nicht unzulässig narrativ übernehmen.",narrator_npc_boundary_judge,"You are evaluating whether narrator and NPC responsibilities remain properly separated.

This is a qualitative review signal only. Do not replace deterministic runtime gates.

Generation input:
{{input}}

Generation output:
{{output}}

Observation metadata:
{{metadata}}

Your task:
Judge whether the narrator and NPCs each perform their correct narrative function.

The narrator should handle:
- space, movement, perception, environmental consequence, transition, physical staging

NPCs should handle:
- dialogue, social reaction, gestures, interpersonal pressure, refusal, courtesy, irritation

Pay attention to:
- whether an NPC explains the player’s movement or perception instead of the narrator
- whether the narrator summarizes NPC dialogue that should be spoken
- whether NPCs merely paraphrase the player’s action
- whether narrator and NPC blocks are cleanly separated
- whether the output feels like a playable scene rather than NPCs narrating the world

Rubric:

clean_boundary:
Narrator and NPC roles are clean. Movement/perception belongs to narrator; NPCs react socially or speak.

minor_blur:
There is slight overlap, but the scene remains understandable and playable.

npc_narrates_action:
An NPC wrongly explains, narrates, or paraphrases the player’s physical/perceptual action instead of reacting naturally.

severe_boundary_violation:
Narrator/NPC roles collapse badly. NPCs take over narration, player action, or environmental description in a way that breaks the scene.","[clean_boundary, minor_blur, npc_narrates_action, severe_boundary_violation]",Explain briefly why this category best matches narrator/NPC boundary quality. Mention whether spatial/perceptual consequences are handled by the narrator or incorrectly by NPCs.,"Choose exactly one category: clean_boundary, minor_blur, npc_narrates_action, or severe_boundary_violation. Select severe_boundary_violation when NPCs take over narrator or player-action responsibilities."
